Day_of_Week,Accident_Location_A,Accident_Location_A_Chainage_km,Accident_Location_A_Chainage_km_RoadSide,Causes_D,Road_Feature_E,Road_Condition_F,Weather_Conditions_H,Vehicle_Type_Involved_J_V1,Vehicle_Type_Involved_J_V2,Year,Month,Day,Hour
5,1,494.12,2,2,4,1,1,1,5.0,2017.0,12.0,5.0,6
2,1,492.4,1,3,4,1,1,6,5.0,2017.0,7.0,6.0,15
1,1,490.95,2,3,4,1,1,5,5.0,2017.0,7.0,6.0,9
1,2,239.4,1,2,4,2,2,1,5.0,2017.0,9.0,10.0,13
3,2,270.6,2,4,4,1,1,8,5.0,2022.0,5.0,7.0,13
4,2,197.7,2,3,4,1,1,1,5.0,2017.0,7.0,6.0,6
1,2,202.8,2,4,4,1,1,10,5.0,2022.0,10.0,7.0,6
2,2,714.395,2,2,4,1,1,5,5.0,2022.0,6.0,6.0,12
2,2,457.64,2,3,4,1,1,5,5.0,2015.0,8.0,12.0,4
4,2,454.7,1,3,4,1,1,5,5.0,2017.0,7.0,6.0,13
2,2,501.9,2,3,4,1,1,1,5.0,2015.0,2.0,6.0,2
5,2,211.6,1,2,2,4,10,5,5.0,2017.0,7.0,6.0,5
7,2,249.6,2,2,2,1,9,5,6.0,2017.0,7.0,6.0,3
4,2,433.5,2,2,4,1,1,9,5.0,2017.0,7.0,6.0,13
4,1,502.05,1,3,4,1,2,5,5.0,2017.0,7.0,6.0,5
1,2,482.7,2,3,4,1,1,1,6.0,2016.0,7.0,11.0,0
5,2,247.2,2,3,4,1,1,5,5.0,2017.0,7.0,6.0,11
2,2,504.85,2,3,4,1,1,5,5.0,2016.0,5.0,1.0,23
4,1,693.195,1,4,4,1,1,11,5.0,2022.0,10.0,8.0,12
3,2,494.25,1,3,4,1,1,5,5.0,2016.0,4.0,5.0,12
7,2,450.25,2,2,4,1,1,6,5.0,2016.0,4.0,12.0,17
7,2,428.75,1,2,4,1,1,6,5.0,2017.0,7.0,6.0,18
1,2,450.54,2,3,4,1,1,5,5.0,2017.0,7.0,6.0,22
2,2,427.36,2,3,4,1,3,9,5.0,2017.0,7.0,6.0,16
4,2,481.9,2,2,4,1,1,8,5.0,2017.0,7.0,6.0,21
7,2,438.0,2,3,4,1,1,11,5.0,2016.0,12.0,6.0,19
1,2,469.8,1,3,4,1,1,5,5.0,2017.0,4.0,9.0,23
3,2,222.5,2,4,2,4,10,1,6.0,2017.0,7.0,6.0,4
5,2,189.2,1,2,4,1,1,11,1.0,2017.0,7.0,6.0,18
5,2,135.1,1,5,4,1,1,1,5.0,2022.0,8.0,9.0,11
7,2,489.46,2,2,4,1,10,5,5.0,2017.0,7.0,6.0,7
7,2,423.94,2,3,4,1,1,6,5.0,2017.0,7.0,6.0,21
4,1,499.3,1,2,4,1,1,6,3.0,2015.0,12.0,11.0,7
